Common_Course_ID,has_prereq,Course_Dept,Course_Num,,
DSCI345M,Has pre-req,DSCI,345,,
DSCI372M,Has pre-req,DSCI,372,,
DSCI411,Has pre-req,DSCI,411,,
EALL440,Has pre-req,EALL,440,,
EALL441,Has pre-req,EALL,441,,
EALL443,Has pre-req,EALL,443,,
EC311,Has pre-req,EC,311,,
EC313,Has pre-req,EC,313,,
EC320,Has pre-req,EC,320,,
EC327,Has pre-req,EC,327,,
EC328,Has pre-req,EC,328,,
EC330,Has pre-req,EC,330,,
EC333,Has pre-req,EC,333,,
EC340,Has pre-req,EC,340,,
EC350,Has pre-req,EC,350,,
EC360,Has pre-req,EC,360,,
EC370,Has pre-req,EC,370,,
EC380,Has pre-req,EC,380,,
EC390,Has pre-req,EC,390,,
EC410,Has pre-req,EC,410,,
EC411,Has pre-req,EC,411,,
EC412,Has pre-req,EC,412,,
EC413,Has pre-req,EC,413,,
EC418,Has pre-req,EC,418,,
EC419,Has pre-req,EC,419,,
EC421,Has pre-req,EC,421,,
EC422,Has pre-req,EC,422,,
EC423,Has pre-req,EC,423,,
EC424,Has pre-req,EC,424,,
EC425,Has pre-req,EC,425,,
EC427,Has pre-req,EC,427,,
EC428,Has pre-req,EC,428,,
EC430,Has pre-req,EC,430,,
EC432,Has pre-req,EC,432,,
EC433,Has pre-req,EC,433,,
EC434,Has pre-req,EC,434,,
EC435,Has pre-req,EC,435,,
EC440,Has pre-req,EC,440,,
EC441,Has pre-req,EC,441,,
EC443,Has pre-req,EC,443,,
EC448,Has pre-req,EC,448,,
EC450,Has pre-req,EC,450,,
EC451,Has pre-req,EC,451,,
EC460,Has pre-req,EC,460,,
EC461,Has pre-req,EC,461,,
EC462,Has pre-req,EC,462,,
EC470,Has pre-req,EC,470,,
EC471,Has pre-req,EC,471,,
EC480,Has pre-req,EC,480,,
EC481,Has pre-req,EC,481,,
EC482,Has pre-req,EC,482,,
EC484,Has pre-req,EC,484,,
EC490,Has pre-req,EC,490,,
EC491,Has pre-req,EC,491,,
EC493,Has pre-req,EC,493,,
EDLD312,Has pre-req,EDLD,312,,
EDLD412,Has pre-req,EDLD,412,,
EDST331,Has pre-req,EDST,331,,
EDST332,Has pre-req,EDST,332,,
EDST333,Has pre-req,EDST,333,,
EDST342,Has pre-req,EDST,342,,
EDST343,Has pre-req,EDST,343,,
EDST420,Has pre-req,EDST,420,,
EDST450,Has pre-req,EDST,450,,
EDST451,Has pre-req,EDST,451,,
EDST452,Has pre-req,EDST,452,,
EDST453,Has pre-req,EDST,453,,
EDST454,Has pre-req,EDST,454,,
EDST455,Has pre-req,EDST,455,,
EDST456,Has pre-req,EDST,456,,
EDST457,Has pre-req,EDST,457,,
EDST458,Has pre-req,EDST,458,,
EDST463,Has pre-req,EDST,463,,
EDST464,Has pre-req,EDST,464,,
EDST472,Has pre-req,EDST,472,,
ENG200,Has pre-req,ENG,200,,
ENG222,Has pre-req,ENG,222,,
ENG270,Has pre-req,ENG,270,,
ENG301,Has pre-req,ENG,301,,
ENG302,Has pre-req,ENG,302,,
ENG303,Has pre-req,ENG,303,,
ENG304,Has pre-req,ENG,304,,
ENG305,Has pre-req,ENG,305,,
ENG330,Has pre-req,ENG,330,,
ENG335,Has pre-req,ENG,335,,
ENG411,Has pre-req,ENG,411,,
ENG429,Has pre-req,ENG,429,,
ENG430,Has pre-req,ENG,430,,
ENG470,Has pre-req,ENG,470,,
ENG491,Has pre-req,ENG,491,,
ENVS335,Has pre-req,ENVS,335,,
ENVS350,Has pre-req,ENVS,350,,
ENVS355,Has pre-req,ENVS,355,,
ENVS435,Has pre-req,ENVS,435,,
ENVS440,Has pre-req,ENVS,440,,
ENVS450,Has pre-req,ENVS,450,,
ENVS455,Has pre-req,ENVS,455,,
ENVS465,Has pre-req,ENVS,465,,
ENVS467,Has pre-req,ENVS,467,,
ENVS477,Has pre-req,ENVS,477,,
ENVS493M,Has pre-req,ENVS,493,,
ENVS494M,Has pre-req,ENVS,494,,
ERTH311,Has pre-req,ERTH,311,,
ERTH315,Has pre-req,ERTH,315,,
ERTH316,Has pre-req,ERTH,316,,
ERTH318,Has pre-req,ERTH,318,,
ERTH331,Has pre-req,ERTH,331,,
ERTH332,Has pre-req,ERTH,332,,
ERTH334,Has pre-req,ERTH,334,,
ERTH337,Has pre-req,ERTH,337,,
ERTH350,Has pre-req,ERTH,350,,
ERTH353,Has pre-req,ERTH,353,,
ERTH363,Has pre-req,ERTH,363,,
ERTH416,Has pre-req,ERTH,416,,
ERTH418,Has pre-req,ERTH,418,,
ERTH423M,Has pre-req,ERTH,423,,
ERTH434,Has pre-req,ERTH,434,,
ERTH435,Has pre-req,ERTH,435,,
ERTH436,Has pre-req,ERTH,436,,
ERTH440,Has pre-req,ERTH,440,,
ERTH451,Has pre-req,ERTH,451,,
ERTH454,Has pre-req,ERTH,454,,
ERTH455,Has pre-req,ERTH,455,,
ERTH456,Has pre-req,ERTH,456,,
ERTH467,Has pre-req,ERTH,467,,
ERTH468,Has pre-req,ERTH,468,,
ERTH474,Has pre-req,ERTH,474,,
ERTH480,Has pre-req,ERTH,480,,
ES301,Has pre-req,ES,301,,
ES385,Has pre-req,ES,385,,
ES452,Has pre-req,ES,452,,
ES498,Has pre-req,ES,498,,
ES499,Has pre-req,ES,499,,
FHS301,Has pre-req,FHS,301,,
FHS328,Has pre-req,FHS,328,,
FHS329,Has pre-req,FHS,329,,
FHS330,Has pre-req,FHS,330,,
FHS331,Has pre-req,FHS,331,,
FHS420,Has pre-req,FHS,420,,
FHS471,Has pre-req,FHS,471,,
FHS472,Has pre-req,FHS,472,,
FHS492,Has pre-req,FHS,492,,
FHS493,Has pre-req,FHS,493,,
FHS494,Has pre-req,FHS,494,,
FHS497,Has pre-req,FHS,497,,
FIN311,Has pre-req,FIN,311,,
FIN316,Has pre-req,FIN,316,,
FIN380,Has pre-req,FIN,380,,
FIN462,Has pre-req,FIN,462,,
FIN463,Has pre-req,FIN,463,,
FIN464,Has pre-req,FIN,464,,
FIN473,Has pre-req,FIN,473,,
FINN102,Has pre-req,FINN,102,,
FINN103,Has pre-req,FINN,103,,
FINN201,Has pre-req,FINN,201,,
FINN202,Has pre-req,FINN,202,,
FINN203,Has pre-req,FINN,203,,
FR102,Has pre-req,FR,102,,
FR103,Has pre-req,FR,103,,
FR112,Has pre-req,FR,112,,
FR202,Has pre-req,FR,202,,
FR203,Has pre-req,FR,203,,
FR301,Has pre-req,FR,301,,
FR302,Has pre-req,FR,302,,
FR303,Has pre-req,FR,303,,
FR307,Has pre-req,FR,307,,
FR312,Has pre-req,FR,312,,
FR317,Has pre-req,FR,317,,
FR318,Has pre-req,FR,318,,
FR319,Has pre-req,FR,319,,
FR320,Has pre-req,FR,320,,
FR330,Has pre-req,FR,330,,
FR331,Has pre-req,FR,331,,
FR333,Has pre-req,FR,333,,
FR362,Has pre-req,FR,362,,
FR399,Has pre-req,FR,399,,
FR407,Has pre-req,FR,407,,
FR416,Has pre-req,FR,416,,
FR425,Has pre-req,FR,425,,
FR450,Has pre-req,FR,450,,
FR451,Has pre-req,FR,451,,
FR460,Has pre-req,FR,460,,
FR480,Has pre-req,FR,480,,
FR490,Has pre-req,FR,490,,
FR492,Has pre-req,FR,492,,
FR497,Has pre-req,FR,497,,
GEOG321,Has pre-req,GEOG,321,,
GEOG322,Has pre-req,GEOG,322,,
GEOG323,Has pre-req,GEOG,323,,
GEOG360,Has pre-req,GEOG,360,,
GEOG361,Has pre-req,GEOG,361,,
GEOG393,Has pre-req,GEOG,393,,
GEOG411,Has pre-req,GEOG,411,,
GEOG415,Has pre-req,GEOG,415,,
GEOG416,Has pre-req,GEOG,416,,
GEOG417,Has pre-req,GEOG,417,,
GEOG418,Has pre-req,GEOG,418,,
GEOG421,Has pre-req,GEOG,421,,
GEOG423,Has pre-req,GEOG,423,,
GEOG425,Has pre-req,GEOG,425,,
GEOG427,Has pre-req,GEOG,427,,
