Common_Course_ID,has_prereq
MKTG435,Has pre-req
MKTG445,Has pre-req
MKTG470,Has pre-req
MKTG490,Has pre-req
MUE411,Has pre-req
MUE413,Has pre-req
MUE420,Has pre-req
MUE460,Has pre-req
MUE461,Has pre-req
MUE466,Has pre-req
MUE472,Has pre-req
MUE473,Has pre-req
MUJ181,Has pre-req
MUJ182,Has pre-req
MUJ271,Has pre-req
MUJ272,Has pre-req
MUJ273,Has pre-req
MUJ274,Has pre-req
MUJ275,Has pre-req
MUJ276,Has pre-req
MUJ440,Has pre-req
MUJ474,Has pre-req
MUJ475,Has pre-req
MUJ476,Has pre-req
MUJ477,Has pre-req
MUJ478,Has pre-req
MUJ479,Has pre-req
MUJ480,Has pre-req
MUJ481,Has pre-req
MUJ482,Has pre-req
MUJ483,Has pre-req
MUJ484,Has pre-req
MUJ485,Has pre-req
MUP121,Has pre-req
MUP163,Has pre-req
MUS132,Has pre-req
MUS133,Has pre-req
MUS134,Has pre-req
MUS135,Has pre-req
MUS136,Has pre-req
MUS138,Has pre-req
MUS139,Has pre-req
MUS142,Has pre-req
MUS143,Has pre-req
MUS156,Has pre-req
MUS231,Has pre-req
MUS232,Has pre-req
MUS233,Has pre-req
MUS234,Has pre-req
MUS235,Has pre-req
MUS236,Has pre-req
MUS237,Has pre-req
MUS238,Has pre-req
MUS239,Has pre-req
MUS240,Has pre-req
MUS241,Has pre-req
MUS242,Has pre-req
MUS249,Has pre-req
MUS267,Has pre-req
MUS268,Has pre-req
MUS269,Has pre-req
MUS327,Has pre-req
MUS340,Has pre-req
MUS341,Has pre-req
MUS342,Has pre-req
MUS384,Has pre-req
MUS393,Has pre-req
MUS416,Has pre-req
MUS417,Has pre-req
MUS422,Has pre-req
MUS428,Has pre-req
MUS430,Has pre-req
MUS431,Has pre-req
MUS432,Has pre-req
MUS433,Has pre-req
MUS434,Has pre-req
MUS435,Has pre-req
MUS439,Has pre-req
MUS440,Has pre-req
MUS441,Has pre-req
MUS442,Has pre-req
MUS445,Has pre-req
MUS450,Has pre-req
MUS456,Has pre-req
